S.No,Crop Name,Soil Type,Growth Duration (Days),Season,N-P-K Ratio,Urea (kg/ha),DAP (kg/ha),MOP (kg/ha),Fertilizer Schedule,Water Requirement,Cultivation Tips,Harvesting Tips
17,Turnip,Sandy Soil,60-75,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),High,Needs regular irrigation; sandy soils dry fast,Harvest when roots are 5–8 cm diameter and tender
18,Turnip,Sandy Loam,60-75,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),Moderate,Best soil for uniform turnip bulbs,Harvest before roots become woody
19,Turnip,Loam,70-85,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),Moderate,Supports balanced growth and sweetness,Harvest at marketable size with smooth skin
20,Turnip,Clay Loam,80-90,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),Moderate to High,Compaction may cause small bulbs; plough well,Harvest carefully to avoid damage
21,Turnip,Clay,85-95,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),High,Heavy soils delay maturity; use ridges,Harvest when tops begin yellowing
22,Turnip,Red Soil,65-80,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),Moderate,Performs well with FYM incorporation,Harvest when roots turn bright white/purple
23,Turnip,Black Soil,70-85,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),High,Moisture retention is high; needs drainage,Harvest when roots are tender
24,Turnip,Laterite Soil,65-80,Rabi,60-40-40,90,50,50,Basal + Top Dressing (30 DAS),Low to Moderate,Add compost for fertility,Harvest before roots crack
25,Beetroot,Sandy Soil,85-100,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),High,Frequent irrigation needed for uniform roots,Harvest when roots are 5–7 cm diameter
26,Beetroot,Sandy Loam,85-100,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),Moderate,Best soil for smooth beets,Harvest at bright red stage
27,Beetroot,Loam,90-110,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),Moderate,Supports balanced sugar accumulation,Harvest when roots are firm and red
28,Beetroot,Clay Loam,100-120,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),Moderate to High,May cause uneven roots; ensure deep ploughing,Harvest carefully to avoid cracks
29,Beetroot,Clay,110-125,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),High,Heavy soil may delay maturity; raised beds preferred,Harvest when soil is moist
30,Beetroot,Red Soil,90-110,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),Moderate,Responds well to FYM,Harvest when roots are smooth & bright red
31,Beetroot,Black Soil,100-115,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),High,High water retention; avoid waterlogging,Harvest at 5–7 cm diameter
32,Beetroot,Laterite Soil,90-110,Rabi/Kharif,60-40-50,100,50,60,Basal + Top Dressing (30 DAS),Low to Moderate,Add organic manure,Harvest before roots crack
33,Yam,Sandy Soil,180-210,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Sandy soil needs mulching and frequent irrigation,Harvest after leaves yellow and vines dry
34,Yam,Sandy Loam,180-210,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loose soils give better tuber expansion,Harvest carefully to avoid tuber injury
35,Yam,Loam,200-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loam supports uniform tuber growth,Harvest when vines dry naturally
36,Yam,Clay Loam,210-230,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate to High,Compaction restricts tuber size; deep ploughing needed,Harvest with digging tools
37,Yam,Clay,220-240,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Heavy soils delay maturity; prefer ridging,Harvest when soil is moist
38,Yam,Red Soil,190-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Responds well to FYM,Harvest after vines dry
39,Yam,Black Soil,200-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Holds water well; ensure drainage,Harvest at full maturity
40,Yam,Laterite Soil,190-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Low to Moderate,Add compost to improve fertility,Harvest before tubers crack
41,Colocasia,Sandy Soil,150-160,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Frequent irrigation prevents leaf burn,Harvest when leaves yellow
42,Colocasia,Sandy Loam,150-160,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loose soil helps corm development,Harvest corms carefully
43,Colocasia,Loam,160-170,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loam gives uniform corms,Harvest when leaves wilt
44,Colocasia,Clay Loam,170-180,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate to High,Ensure drainage; waterlogging harmful,Harvest with spade carefully
45,Colocasia,Clay,175-185,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Heavy soils delay growth; raised beds help,Harvest when soil is moist
46,Colocasia,Red Soil,160-170,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Responds to FYM & compost,Harvest when corms mature
47,Colocasia,Black Soil,165-175,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Moisture retention good; avoid waterlogging,Harvest before corms crack
48,Colocasia,Laterite Soil,160-170,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Low to Moderate,Laterites need manures,Harvest carefully
49,Tapioca,Sandy Soil,240-270,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,High,Frequent irrigation required; mulch helps,Harvest at 8–10 months when leaves yellow
50,Tapioca,Sandy Loam,240-270,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,Moderate,Loose soil supports tuber elongation,Harvest when tubers mature
51,Tapioca,Loam,260-280,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,Moderate,Loam ensures uniform tuber size,Harvest at 9–10 months
52,Tapioca,Clay Loam,270-300,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,Moderate to High,Heavy soil may reduce yield; deep ploughing helps,Harvest carefully with tools
53,Tapioca,Clay,280-300,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,High,Excess moisture delays maturity,Harvest when leaves dry
54,Tapioca,Red Soil,250-270,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,Moderate,Performs well with FYM addition,Harvest after 8 months
55,Tapioca,Black Soil,260-280,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,High,Holds water; drainage essential,Harvest at 9–10 months
56,Tapioca,Laterite Soil,250-270,Kharif/Rabi,100-50-100,220,90,165,Basal + Split at 45 & 90 DAS,Low to Moderate,Needs organic manure,Harvest before tubers crack
57,Sweet Potato,Sandy Soil,120-130,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,High,Sandy soils need frequent irrigation,Harvest after 3–4 months
58,Sweet Potato,Sandy Loam,120-130,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,Moderate,Best soil for uniform tubers,Harvest when leaves yellow
59,Sweet Potato,Loam,130-140,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,Moderate,Loam supports balanced growth,Harvest at full maturity
60,Sweet Potato,Clay Loam,140-150,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,Moderate to High,Soil compaction may reduce yield,Harvest carefully to avoid tuber injury
61,Sweet Potato,Clay,140-150,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,High,Heavy soils delay maturity; ridging useful,Harvest when soil is moist
62,Sweet Potato,Red Soil,125-140,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,Moderate,Responds to FYM and compost,Harvest after 4 months
63,Sweet Potato,Black Soil,130-145,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,High,Good water retention; drainage required,Harvest when vines start drying
64,Sweet Potato,Laterite Soil,125-140,Kharif/Rabi,60-50-100,130,80,165,Basal + Split at 45 DAS,Low to Moderate,Needs organic manure,Harvest before tubers crack
65,Arrowroot,Sandy Soil,180-200,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Needs irrigation; sandy soil dries quickly,Harvest after 7–8 months when leaves dry
66,Arrowroot,Sandy Loam,180-200,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loose soil supports rhizome expansion,Harvest carefully to avoid rhizome breakage
67,Arrowroot,Loam,190-210,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Loam ensures uniform rhizomes,Harvest at maturity after leaves dry
68,Arrowroot,Clay Loam,200-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate to High,Heavy soil needs good drainage,Harvest with digging tools
69,Arrowroot,Clay,210-230,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Heavy soil delays maturity; raised beds helpful,Harvest when soil is moist
70,Arrowroot,Red Soil,190-210,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Moderate,Responds well to FYM,Harvest after 7–8 months
71,Arrowroot,Black Soil,200-220,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,High,Holds water well; drainage is important,Harvest before rhizomes crack
72,Arrowroot,Laterite Soil,190-210,Kharif,80-60-100,175,80,165,Basal + Split at 45 & 90 DAS,Low to Moderate,Needs organic matter for fertility,Harvest carefully when leaves dry
1,Spinach,Sandy Soil,30-40,Rabi/Kharif,80-40-40,132,66,66,Basal + 1 top dressing at 20 DAS,420,Frequent light irrigation and mulching to reduce evaporation,Harvest leaf picks at 30–40 days; successive harvests every 10–14 days
2,Spinach,Sandy Loam,30-40,Rabi/Kharif,80-40-40,120,60,60,Basal + 1 top dressing at 20 DAS,385,Loose soil promotes quick establishment,Harvest leaves when 10–15 cm long for best quality
3,Spinach,Loam,30-40,Rabi/Kharif,80-40-40,120,60,60,Basal + 1 top dressing at 20 DAS,350,Balanced moisture and fertility supports fast growth,Harvest by cutting outer leaves; avoid damaging crown
4,Spinach,Clay Loam,35-45,Rabi/Kharif,80-40-40,120,60,60,Basal + 1 top dressing at 20 DAS,368,Ensure good drainage; shallow beds reduce waterlogging,Harvest when leaves are tender; staggered picking
5,Spinach,Clay,35-45,Rabi/Kharif,80-40-40,120,60,60,Basal + 1 top dressing at 20 DAS,385,Use raised beds to improve aeration,Harvest early morning for best shelf life
6,Spinach,Red Soil,30-40,Rabi/Kharif,80-40-40,120,60,60,Basal + 1 top dressing at 20 DAS,350,Incorporate compost/FYM before sowing,Harvest 30–40 days after sowing for baby leaves
7,Spinach,Black Soil,35-45,Rabi/Kharif,80-40-40,126,63,63,Basal + 1 top dressing at 20 DAS,403,Good moisture retention; avoid waterlogging,Harvest leaves when fully expanded; avoid coarse older leaves
8,Spinach,Laterite Soil,30-40,Rabi/Kharif,80-40-40,132,66,66,Basal + 1 top dressing at 20 DAS,368,Add compost and rock phosphate to improve fertility,Harvest at leaf maturity; provide shade in hot months
9,Methi (Fenugreek),Sandy Soil,30-35,Rabi/Kharif,60-30-30,99,50,50,Basal only; light top dressing at 20 DAS,360,Frequent irrigation; thin sowing for tender leaves,Harvest leaf cutting at 25–30 days; multiple pickings possible
10,Methi (Fenugreek),Sandy Loam,30-35,Rabi/Kharif,60-30-30,90,45,45,Basal only; light top dressing at 20 DAS,330,Good seedbed and moderate moisture improve germination,Harvest leafy shoots at 25–30 days
11,Methi (Fenugreek),Loam,30-40,Rabi/Kharif,60-30-30,90,45,45,Basal only; light top dressing at 20 DAS,300,Well-drained loam gives uniform growth,Harvest before flowering for best flavor
12,Methi (Fenugreek),Clay Loam,35-45,Rabi/Kharif,60-30-30,90,45,45,Basal only; light top dressing at 20 DAS,315,Deep tillage helps root development,Harvest young shoots to avoid bitterness
13,Methi (Fenugreek),Clay,35-45,Rabi/Kharif,60-30-30,90,45,45,Basal only; light top dressing at 20 DAS,330,Ridges/raised beds recommended,Harvest early for tender greens
14,Methi (Fenugreek),Red Soil,30-35,Rabi/Kharif,60-30-30,90,45,45,Basal only; light top dressing at 20 DAS,300,Responds well to FYM and phosphorus,Harvest before bolting for best leaf quality
15,Methi (Fenugreek),Black Soil,35-45,Rabi/Kharif,60-30-30,95,47,47,Basal only; light top dressing at 20 DAS,345,High moisture retention; ensure surface drainage,Harvest by successive cuttings every 20–30 days
16,Methi (Fenugreek),Laterite Soil,30-35,Rabi/Kharif,60-30-30,99,50,50,Basal only; light top dressing at 20 DAS,315,Improve organic matter before sowing,Harvest tender leaves at 25–30 days
17,Bathua,Sandy Soil,30-40,Rabi/Kharif,60-30-30,99,50,50,Basal + light top dressing at 20 DAS,360,Frequent irrigation and light soil working for seedlings,Harvest leaves at 30–40 days; multiple cuttings possible
18,Bathua,Sandy Loam,30-40,Rabi/Kharif,60-30-30,90,45,45,Basal + light top dressing at 20 DAS,330,Loose seedbed aids rapid growth,Harvest young leaves for best taste
19,Bathua,Loam,30-45,Rabi/Kharif,60-30-30,90,45,45,Basal + light top dressing at 20 DAS,300,Loam retains good moisture for leafy growth,Harvest by cutting back stems; regrowth common
20,Bathua,Clay Loam,35-50,Rabi/Kharif,60-30-30,90,45,45,Basal + light top dressing at 20 DAS,315,Ensure drainage to prevent root rot,Harvest before fibrous stage for tender leaves
21,Bathua,Clay,35-50,Rabi/Kharif,60-30-30,90,45,45,Basal + light top dressing at 20 DAS,330,Use raised beds in heavy clay,Harvest successive pickings every 20–30 days
22,Bathua,Red Soil,30-45,Rabi/Kharif,60-30-30,90,45,45,Basal + light top dressing at 20 DAS,300,Responds well to organic manures,Harvest leaves when tender for highest quality
23,Bathua,Black Soil,35-50,Rabi/Kharif,60-30-30,95,47,47,Basal + light top dressing at 20 DAS,345,High moisture retention; watch for lodging,Harvest early morning for freshness
24,Bathua,Laterite Soil,30-45,Rabi/Kharif,60-30-30,99,50,50,Basal + light top dressing at 20 DAS,315,Add compost to improve fertility,Harvest before leaves coarse and fibrous
25,Coriander (Dhania),Sandy Soil,35-50,Rabi/Kharif,50-25-25,83,42,42,Basal + light top dressing at 20–25 DAS,420,Frequent light irrigation; avoid deep waterlogging,Harvest leaves 30–45 days for coriander greens
26,Coriander (Dhania),Sandy Loam,35-50,Rabi/Kharif,50-25-25,75,38,38,Basal + light top dressing at 20–25 DAS,385,Thin stands for open canopy and leaf quality,Harvest before flowering for best aroma
27,Coriander (Dhania),Loam,40-60,Rabi/Kharif,50-25-25,75,38,38,Basal + light top dressing at 20–25 DAS,350,Loam gives uniform canopy and quality,Harvest multiple cuttings or cut-and-come-again
28,Coriander (Dhania),Clay Loam,45-60,Rabi/Kharif,50-25-25,75,38,38,Basal + light top dressing at 20–25 DAS,368,Ensure good drainage; reduce irrigation frequency,Harvest leaves early morning for high essential oil
29,Coriander (Dhania),Clay,45-60,Rabi/Kharif,50-25-25,75,38,38,Basal + light top dressing at 20–25 DAS,385,Use raised beds to prevent waterlogging,Harvest leaves at 30–45 days; remove older stems
30,Coriander (Dhania),Red Soil,35-55,Rabi/Kharif,50-25-25,75,38,38,Basal + light top dressing at 20–25 DAS,350,Responds well to FYM and phosphorus,Harvest leaves before bolting for best quality
31,Coriander (Dhania),Black Soil,40-60,Rabi/Kharif,50-25-25,79,40,40,Basal + light top dressing at 20–25 DAS,403,Avoid waterlogged seedbeds; ensure surface drainage,Harvest by cutting stems 3–4 cm above ground
32,Coriander (Dhania),Laterite Soil,35-55,Rabi/Kharif,50-25-25,83,42,42,Basal + light top dressing at 20–25 DAS,368,Improve organic content with compost,Harvest before flowering for fresh leaves
33,Amaranthus,Sandy Soil,35-45,Kharif/Rabi,70-35-35,116,58,58,Basal + 1 top dressing at 25 DAS,420,Frequent irrigation for leafy yield; thin stands for air circulation,Harvest leaves from 35 days; multiple pickings every 10–15 days
34,Amaranthus,Sandy Loam,35-45,Kharif/Rabi,70-35-35,105,53,53,Basal + 1 top dressing at 25 DAS,385,Good tilth encourages vigorous leaf production,Harvest tender leaves regularly to promote regrowth
35,Amaranthus,Loam,40-50,Kharif/Rabi,70-35-35,105,53,53,Basal + 1 top dressing at 25 DAS,350,Loam supports dense leaf canopy,Harvest by selective leaf picking or cutting whole tips
36,Amaranthus,Clay Loam,45-55,Kharif/Rabi,70-35-35,105,53,53,Basal + 1 top dressing at 25 DAS,368,Ensure drainage to reduce fungal issues,Harvest leaves before fiber content increases
37,Amaranthus,Clay,45-55,Kharif/Rabi,70-35-35,105,53,53,Basal + 1 top dressing at 25 DAS,385,Use raised beds in heavy clay,Harvest frequently for best tenderness
38,Amaranthus,Red Soil,35-50,Kharif/Rabi,70-35-35,105,53,53,Basal + 1 top dressing at 25 DAS,350,Responds well to FYM and micronutrients,Harvest young shoots for greens
39,Amaranthus,Black Soil,40-55,Kharif/Rabi,70-35-35,110,56,56,Basal + 1 top dressing at 25 DAS,403,High moisture retention; avoid prolonged waterlogging,Harvest early morning to reduce wilting
40,Amaranthus,Laterite Soil,35-50,Kharif/Rabi,70-35-35,116,58,58,Basal + 1 top dressing at 25 DAS,368,Add compost to improve fertility,Harvest before stems toughen
41,Mustard Greens (Sarson),Sandy Soil,40-60,Rabi,70-40-40,116,66,66,Basal + top dressing at 30 DAS,480,Frequent irrigation and wind protection for young plants,Harvest leaves at 40–60 days; successive cuttings possible
42,Mustard Greens (Sarson),Sandy Loam,40-60,Rabi,70-40-40,105,60,60,Basal + top dressing at 30 DAS,440,Loose soil improves root anchorage and growth,Harvest tender leaves before flowering
43,Mustard Greens (Sarson),Loam,45-65,Rabi,70-40-40,105,60,60,Basal + top dressing at 30 DAS,400,Loam supports high leaf yields,Harvest by cutting outer leaves or whole plant for market
44,Mustard Greens (Sarson),Clay Loam,50-70,Rabi,70-40-40,105,60,60,Basal + top dressing at 30 DAS,420,Ensure good drainage to prevent root diseases,Harvest early to maintain tenderness
45,Mustard Greens (Sarson),Clay,50-70,Rabi,70-40-40,105,60,60,Basal + top dressing at 30 DAS,440,Ridges recommended in heavy clay,Harvest when leaves are young and tender
46,Mustard Greens (Sarson),Red Soil,45-65,Rabi,70-40-40,105,60,60,Basal + top dressing at 30 DAS,400,Responds well to FYM and potash,Harvest before flowering for best taste
47,Mustard Greens (Sarson),Black Soil,50-70,Rabi,70-40-40,110,63,63,Basal + top dressing at 30 DAS,460,High moisture retention; ensure surface drainage,Harvest in cool hours to reduce wilting
48,Mustard Greens (Sarson),Laterite Soil,45-65,Rabi,70-40-40,116,66,66,Basal + top dressing at 30 DAS,420,Improve organic matter and pH before sowing,Harvest leaves in successive pickings
49,Drumstick (Moringa leaves),Sandy Soil,60-90 (leaf harvest),Perennial,80-40-60,132,66,99,Basal at planting + maintenance N twice yearly,600,Protect young saplings from drought; mulching helps,Harvest tender leaves from 60 days; regular pruning increases leaf yield
50,Drumstick (Moringa leaves),Sandy Loam,60-90 (leaf harvest),Perennial,80-40-60,120,60,90,Basal at planting + maintenance N twice yearly,550,Well-drained loamy sands favor root growth,Harvest by pruning shoots; avoids defoliation stress
51,Drumstick (Moringa leaves),Loam,60-90 (leaf harvest),Perennial,80-40-60,120,60,90,Basal at planting + maintenance N twice yearly,500,Loam supports steady growth and leaf quality,Harvest periodically; best leaves are young and tender
52,Drumstick (Moringa leaves),Clay Loam,70-100 (leaf harvest),Perennial,80-40-60,120,60,90,Basal at planting + maintenance N twice yearly,525,Ensure good drainage to prevent root rot,Harvest selective branches to encourage regrowth
53,Drumstick (Moringa leaves),Clay,70-100 (leaf harvest),Perennial,80-40-60,120,60,90,Basal at planting + maintenance N twice yearly,550,Use raised planting mounds in heavy clay,Harvest leaves when young for best nutrition
54,Drumstick (Moringa leaves),Red Soil,60-90 (leaf harvest),Perennial,80-40-60,120,60,90,Basal at planting + maintenance N twice yearly,500,Responds well to deep incorporation of compost,Harvest regularly after establishment for tender shoots
55,Drumstick (Moringa leaves),Black Soil,70-100 (leaf harvest),Perennial,80-40-60,126,63,95,Basal at planting + maintenance N twice yearly,575,High moisture retention; ensure root zone aeration,Harvest by periodic pruning to maintain tree vigor
56,Drumstick (Moringa leaves),Laterite Soil,60-90 (leaf harvest),Perennial,80-40-60,132,66,99,Basal at planting + maintenance N twice yearly,525,Improve soil with organic matter and water retention measures,Harvest tender leaves after 2–3 months; regular pruning increases yield
57,Tomato,Sandy Soil,90-110,Kharif/Rabi,120-60-90,180,90,135,Basal + 2 top dressings at 30 & 60 DAS,600,Frequent irrigation with mulching; supports early growth,Harvest when fruits are fully colored; successive picking
58,Tomato,Sandy Loam,90-110,Kharif/Rabi,120-60-90,170,85,130,Basal + 2 top dressings at 30 & 60 DAS,550,Loose soil favors root growth; staking improves yield,Harvest ripe fruits regularly for continuous production
59,Tomato,Loam,100-120,Kharif/Rabi,120-60-90,170,85,130,Basal + 2 top dressings at 30 & 60 DAS,500,Well-drained loam promotes uniform fruiting,Harvest mature fruits; avoid cutting green ones
60,Tomato,Clay Loam,110-130,Kharif/Rabi,120-60-90,170,85,130,Basal + 2 top dressings at 30 & 60 DAS,520,Ensure drainage to prevent root rot,Harvest in early morning to reduce bruising
61,Tomato,Clay,110-130,Kharif/Rabi,120-60-90,170,85,130,Basal + 2 top dressings at 30 & 60 DAS,550,Raised beds recommended; compaction may reduce yield,Harvest when fruits reach full red stage
62,Tomato,Red Soil,95-115,Kharif/Rabi,120-60-90,170,85,130,Basal + 2 top dressings at 30 & 60 DAS,500,Responds well to FYM and phosphorus,Harvest fruits when firm and fully colored
63,Tomato,Black Soil,100-120,Kharif/Rabi,120-60-90,175,88,135,Basal + 2 top dressings at 30 & 60 DAS,580,High moisture retention; avoid waterlogging,Harvest regularly to avoid overripe fruits
64,Tomato,Laterite Soil,95-115,Kharif/Rabi,120-60-90,180,90,135,Basal + 2 top dressings at 30 & 60 DAS,520,Add organic manure to improve fertility,Harvest ripe fruits; prevent sunburn in hot months
65,Brinjal,Sandy Soil,120-140,Kharif/Rabi,100-50-80,150,75,120,Basal + top dressing at 40 DAS,550,Frequent irrigation; staking reduces fruit breakage,Harvest fruits 45–60 days after flowering; successive picking
66,Brinjal,Sandy Loam,120-140,Kharif/Rabi,100-50-80,140,70,115,Basal + top dressing at 40 DAS,500,Loose soil improves root penetration,Harvest mature fruits; avoid immature harvesting
67,Brinjal,Loam,130-150,Kharif/Rabi,100-50-80,140,70,115,Basal + top dressing at 40 DAS,470,Well-drained loam supports flowering and fruit set,Harvest regularly to maintain yield
68,Brinjal,Clay Loam,135-155,Kharif/Rabi,100-50-80,140,70,115,Basal + top dressing at 40 DAS,490,Ensure drainage; prevent waterlogging,Harvest fully grown fruits; avoid over-mature fruits
69,Brinjal,Clay,140-160,Kharif/Rabi,100-50-80,140,70,115,Basal + top dressing at 40 DAS,510,Heavy soils may delay flowering; use ridges,Harvest when fruits are firm and shiny
70,Brinjal,Red Soil,125-145,Kharif/Rabi,100-50-80,140,70,115,Basal + top dressing at 40 DAS,470,Responds well to compost/FYM,Harvest mature fruits; remove diseased ones
71,Brinjal,Black Soil,130-150,Kharif/Rabi,100-50-80,145,73,120,Basal + top dressing at 40 DAS,520,Moisture retention is good; avoid waterlogging,Harvest regularly to encourage continuous flowering
72,Brinjal,Laterite Soil,125-145,Kharif/Rabi,100-50-80,150,75,120,Basal + top dressing at 40 DAS,490,Add organic manure to improve fertility,Harvest when fruits are firm; successive picking
73,Okra,Sandy Soil,55-70,Kharif,70-40-40,105,60,60,Basal + top dressing at 25 DAS,450,Frequent irrigation; avoid water stress,Harvest tender pods every 3–4 days
74,Okra,Sandy Loam,55-70,Kharif,70-40-40,95,55,55,Basal + top dressing at 25 DAS,420,Loose soil promotes healthy pod formation,Harvest young pods regularly for tenderness
75,Okra,Loam,60-75,Kharif,70-40-40,95,55,55,Basal + top dressing at 25 DAS,400,Loam supports balanced growth,Harvest pods when 7–10 cm long
76,Okra,Clay Loam,65-80,Kharif,70-40-40,95,55,55,Basal + top dressing at 25 DAS,420,Ensure drainage to prevent fungal diseases,Harvest tender pods frequently
77,Okra,Clay,65-80,Kharif,70-40-40,95,55,55,Basal + top dressing at 25 DAS,440,Raised beds recommended for heavy soils,Harvest regularly to avoid fibrous pods
78,Okra,Red Soil,60-75,Kharif,70-40-40,95,55,55,Basal + top dressing at 25 DAS,400,Responds well to organic manure,Harvest tender pods 2–3 times per week
